,location,side_a,side_a_2nd,side_b,side_b_2nd,incompatibility,territory_name,cumulative_intensity,type_of_conflict,type_of_conflict_name,start_date,start_date2,ep_end,region,region_name
1571,El Salvador,Government of El Salvador,,FMLN,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/25/1972,9/14/1979,0,5,Americas
1572,El Salvador,Government of El Salvador,,FMLN,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/25/1972,9/14/1979,0,5,Americas
1573,El Salvador,Government of El Salvador,,FMLN,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/25/1972,9/14/1979,0,5,Americas
1574,El Salvador,Government of El Salvador,,FMLN,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/25/1972,9/14/1979,0,5,Americas
1575,El Salvador,Government of El Salvador,,FMLN,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/25/1972,9/14/1979,0,5,Americas
1576,El Salvador,Government of El Salvador,,FMLN,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",3/25/1972,9/14/1979,1,5,Americas
1577,Oman,Government of Oman,Government of United Kingdom,PFLO,,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/31/1968,12/31/1969,0,2,Middle East
1578,Oman,Government of Oman,Government of United Kingdom,PFLO,,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/31/1968,12/31/1969,0,2,Middle East
1579,Oman,Government of Oman,Government of United Kingdom,PFLO,,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/31/1968,12/31/1969,0,2,Middle East
1580,Oman,Government of Oman,Government of United Kingdom,PFLO,,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/31/1968,12/31/1969,0,2,Middle East
1581,Oman,Government of Oman,"Government of Iran, Government of United Kingdom",PFLO,Government of South Yemen,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/31/1968,12/31/1969,0,2,Middle East
1582,Oman,Government of Oman,"Government of Iran, Government of United Kingdom",PFLO,Government of South Yemen,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/31/1968,12/31/1969,0,2,Middle East
1583,Oman,Government of Oman,"Government of Iran, Government of Jordan, Government of United Kingdom",PFLO,Government of South Yemen,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",10/31/1968,12/31/1969,1,2,Middle East
1584,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,ZAPU,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/29/1966,9/5/1967,0,4,Africa
1585,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,ZAPU,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/29/1966,9/5/1967,1,4,Africa
1586,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,"ZANU, ZAPU",,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/29/1966,4/4/1973,0,4,Africa
1587,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,"ZANU, ZAPU",,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/29/1966,4/4/1973,0,4,Africa
1588,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),Government of South Africa,ZANU,,2,,0,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",4/29/1966,4/4/1973,0,4,Africa
1589,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,"PF, ZANU",,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/29/1966,4/4/1973,0,4,Africa
1590,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,PF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/29/1966,4/4/1973,0,4,Africa
1591,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,PF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/29/1966,4/4/1973,0,4,Africa
1592,Zimbabwe (Rhodesia),Government of Zimbabwe (Rhodesia),,PF,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/29/1966,4/4/1973,1,4,Africa
1593,Uruguay,Government of Uruguay,,MLN/Tupamaros,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",4/13/1970,4/30/1972,1,5,Americas
1594,"South Yemen, Yemen (North Yemen)",Government of South Yemen,,Government of Yemen (North Yemen),,3,Common border,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),2/21/1972,2/21/1972,1,2,Middle East
1595,"South Yemen, Yemen (North Yemen)",Government of South Yemen,,Government of Yemen (North Yemen),,3,Common border,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),2/21/1972,3/30/1979,1,2,Middle East
1596,Chile,Government of Chile,,"Military faction (forces of Augusto Pinochet, Toribio Merino and Leigh Guzman)",,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",9/11/1973,9/11/1973,1,5,Americas
1597,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1598,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1599,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1600,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1601,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1602,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1603,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1604,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1605,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1606,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1607,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1608,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1609,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1610,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1611,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1612,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,0,3,Asia
1613,Bangladesh,Government of Bangladesh,,JSS/SB,,1,Chittagong Hill Tracts,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",2/28/1975,2/28/1975,1,3,Asia
1614,"Cyprus, Turkey",Government of Cyprus,,Government of Turkey,,1,Northern Cyprus,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),6/20/1974,6/20/1974,1,"1, 2",Middle East
1615,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,2/10/1974,1,2,Middle East
1616,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,9/23/1980,0,2,Middle East
1617,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,9/23/1980,0,2,Middle East
1618,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,9/23/1980,0,2,Middle East
1619,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,9/23/1980,0,2,Middle East
1620,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,9/23/1980,0,2,Middle East
1621,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,9/23/1980,0,2,Middle East
1622,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,9/23/1980,0,2,Middle East
1623,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,9/23/1980,0,2,Middle East
1624,"Iran, Iraq",Government of Iran,,Government of Iraq,,3,Various,1,2,interstate (both sides are states in the Gleditsch and Ward membership system),4/11/1972,9/23/1980,1,2,Middle East
1625,Pakistan,Government of Pakistan,,BLF,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,12/31/1974,0,3,Asia
1626,Pakistan,Government of Pakistan,,BLF,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,12/31/1974,0,3,Asia
1627,Pakistan,Government of Pakistan,,BLF,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,12/31/1974,0,3,Asia
1628,Pakistan,Government of Pakistan,,BLF,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,12/31/1974,1,3,Asia
1629,Pakistan,Government of Pakistan,,BLA,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,8/1/2004,1,3,Asia
1630,Pakistan,Government of Pakistan,,"Baloch Ittehad, BLA",,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,3/26/2006,0,3,Asia
1631,Pakistan,Government of Pakistan,,BLA,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,3/26/2006,0,3,Asia
1632,Pakistan,Government of Pakistan,,"BLA, BRA",,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,3/26/2006,0,3,Asia
1633,Pakistan,Government of Pakistan,,"BLA, BRA",,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,3/26/2006,1,3,Asia
1634,Pakistan,Government of Pakistan,,BLA,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,7/5/2011,0,3,Asia
1635,Pakistan,Government of Pakistan,,"BLA, BLF, BRA",,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,7/5/2011,0,3,Asia
1636,Pakistan,Government of Pakistan,,BLA,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,7/5/2011,0,3,Asia
1637,Pakistan,Government of Pakistan,,"BLA, BRA",,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,7/5/2011,0,3,Asia
1638,Pakistan,Government of Pakistan,,"BLA, BLF, BRA",,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,7/5/2011,0,3,Asia
1639,Pakistan,Government of Pakistan,,"BLA, UBA",,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,7/5/2011,1,3,Asia
1640,Pakistan,Government of Pakistan,,BRAS,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,5/11/2019,0,3,Asia
1641,Pakistan,Government of Pakistan,,BRAS,,1,Balochistan,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",5/18/1973,5/11/2019,0,3,Asia
1642,Eritrea,Government of Eritrea,,EIJM - AS,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/16/1993,6/30/1997,1,4,Africa
1643,Eritrea,Government of Eritrea,,EIJM - AS,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/16/1993,4/4/1999,1,4,Africa
1644,Eritrea,Government of Eritrea,,EIJM - AS,,2,,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",12/16/1993,7/17/2003,1,4,Africa
1645,Angola,Government of Angola,Government of Cuba,"FNLA, UNITA","Government of DR Congo (Zaire), Government of South Africa",2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1646,Angola,Government of Angola,Government of Cuba,"FNLA, UNITA",Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1647,Angola,Government of Angola,Government of Cuba,"FNLA, UNITA",,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1648,Angola,Government of Angola,Government of Cuba,"FNLA, UNITA",,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1649,Angola,Government of Angola,Government of Cuba,"FNLA, UNITA",,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1650,Angola,Government of Angola,Government of Cuba,UNITA,Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1651,Angola,Government of Angola,Government of Cuba,UNITA,Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1652,Angola,Government of Angola,Government of Cuba,UNITA,Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1653,Angola,Government of Angola,Government of Cuba,UNITA,Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1654,Angola,Government of Angola,Government of Cuba,UNITA,Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1655,Angola,Government of Angola,Government of Cuba,UNITA,Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1656,Angola,Government of Angola,Government of Cuba,UNITA,Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1657,Angola,Government of Angola,Government of Cuba,UNITA,Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1658,Angola,Government of Angola,Government of Cuba,UNITA,Government of South Africa,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1659,Angola,Government of Angola,Government of Cuba,UNITA,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1660,Angola,Government of Angola,,UNITA,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1661,Angola,Government of Angola,,UNITA,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1662,Angola,Government of Angola,,UNITA,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1663,Angola,Government of Angola,,UNITA,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1664,Angola,Government of Angola,,UNITA,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,0,4,Africa
1665,Angola,Government of Angola,,UNITA,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",11/11/1975,11/11/1975,1,4,Africa
1666,Angola,Government of Angola,,UNITA,,2,,1,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",11/11/1975,5/2/1998,0,4,Africa
1667,Angola,Government of Angola,Government of Namibia,UNITA,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,5/2/1998,0,4,Africa
1668,Angola,Government of Angola,Government of Namibia,UNITA,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,5/2/1998,0,4,Africa
1669,Angola,Government of Angola,Government of Namibia,UNITA,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,5/2/1998,0,4,Africa
1670,Angola,Government of Angola,Government of Namibia,UNITA,,2,,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",11/11/1975,5/2/1998,1,4,Africa
1671,"Cambodia (Kampuchea), Vietnam (North Vietnam)",Government of Cambodia (Kampuchea),,Government of Vietnam (North Vietnam),,1,Common Border,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),5/1/1975,12/31/1975,0,3,Asia
1672,"Cambodia (Kampuchea), Vietnam (North Vietnam)",Government of Cambodia (Kampuchea),,Government of Vietnam (North Vietnam),,1,Common Border,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),5/1/1975,12/31/1975,0,3,Asia
1673,"Cambodia (Kampuchea), Vietnam (North Vietnam)",Government of Cambodia (Kampuchea),,Government of Vietnam (North Vietnam),,1,Common Border,0,2,interstate (both sides are states in the Gleditsch and Ward membership system),5/1/1975,12/31/1975,1,3,Asia
1674,Ethiopia,Government of Ethiopia,,Ogaden Liberation Front,,1,Ogaden,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/11/1964,1/11/1964,1,4,Africa
1675,Ethiopia,Government of Ethiopia,,WSLF,,1,Ogaden,0,3,"intrastate (side A is always a government; side B is always one or more rebel groups; there is no involvement of foreign governments with troops, i.e. there is no side_a_2nd or side_b_2nd coded)",1/11/1964,10/31/1976,0,4,Africa
1676,Ethiopia,Government of Ethiopia,"Government of Cuba, Government of South Yemen",WSLF,Government of Somalia,1,Ogaden,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/11/1964,10/31/1976,0,4,Africa
1677,Ethiopia,Government of Ethiopia,"Government of Cuba, Government of South Yemen",WSLF,,1,Ogaden,1,4,"internationalized intrastate (side A is always a government; side B is always one or more rebel groups; there is involvement of foreign governments with troops, i.e. there is at least ONE side_a_2nd or side_b_2nd coded)",1/11/1964,10/31/1976,0,4,Africa
